Algorithm: PageRank
Damping: 0.850000
Vertex ranks:
0 0.007982
1 0.011738
2 0.004826
3 0.006377
4 0.009262
5 0.010737
6 0.022245
7 0.030247
8 0.020402
9 0.007280
10 0.006401
11 0.006941
12 0.006425
13 0.002865
14 0.002312
15 0.015559
16 0.008113
17 0.008396
18 0.011658
19 0.004803
20 0.006948
21 0.007406
22 0.009826
23 0.004284
24 0.002228
25 0.003176
26 0.007549
27 0.015058
28 0.007899
29 0.003738
30 0.004677
31 0.007791
32 0.007636
33 0.009956
34 0.016405
35 0.016175
36 0.019866
37 0.011942
38 0.012115
39 0.006649
40 0.006132
41 0.009849
42 0.004291
43 0.006047
44 0.009424
45 0.008710
46 0.011142
47 0.007172
48 0.003532
49 0.003001
50 0.009174
51 0.010664
52 0.007829
53 0.004827
54 0.010449
55 0.014227
56 0.007545
57 0.010623
58 0.003306
59 0.002437
60 0.002536
61 0.011205
62 0.008500
63 0.010873
64 0.011496
65 0.011128
66 0.012925
67 0.018026
68 0.011190
69 0.009111
70 0.009244
71 0.005428
72 0.005824
73 0.004912
74 0.018965
75 0.014254
76 0.013054
77 0.012594
78 0.012204
79 0.010738
80 0.010630
81 0.011557
82 0.016139
83 0.007150
84 0.007577
85 0.005367
86 0.006962
87 0.017056
88 0.015996
89 0.019831
90 0.019395
91 0.010167
92 0.019473
93 0.019417
94 0.026066
95 0.010297
96 0.005876
97 0.009119
98 0.005375
99 0.006070
Sum of ranks: 1.000000
Iterations: 21
Converged: true
Execution time: 0.014400 ms
